,Company,TypeName,Ram,OpSys,Weight,Price,TouchScreen,IPS,PPI,CPU_name,HDD,SSD,Gpu brand
0,Apple,Ultrabook,8,Mac,1.37,856.5441984,0,1,226.98300468106115,Intel Core i5,0,128,Intel
1,Apple,Ultrabook,8,Mac,1.34,574.7462784,0,0,127.67794013309688,Intel Core i5,0,0,Intel
2,HP,Notebook,8,Other,1.86,367.632,0,0,141.21199808219862,Intel Core i5,0,256,Intel
3,Apple,Ultrabook,16,Mac,1.83,1622.3440319999995,0,1,220.53462386625827,Intel Core i7,0,512,AMD
4,Apple,Ultrabook,8,Mac,1.37,1153.1496960000002,0,1,226.98300468106115,Intel Core i5,0,256,Intel
5,Acer,Notebook,4,Windows,2.1,255.744,0,0,100.45466986113651,AMD Processor,500,0,AMD
6,Apple,Ultrabook,16,Mac,2.04,1368.2112192,0,1,220.53462386625827,Intel Core i7,0,0,Intel
7,Apple,Ultrabook,8,Mac,1.34,740.8264320000001,0,0,127.67794013309688,Intel Core i5,0,0,Intel
8,Asus,Ultrabook,16,Windows,1.3,955.8432,0,0,157.3505121487356,Intel Core i7,0,512,Nvidia
9,Acer,Ultrabook,8,Windows,1.6,492.3072,0,1,157.3505121487356,Intel Core i5,0,256,Intel
10,HP,Notebook,4,Other,1.86,251.843904,0,0,100.45466986113651,Intel Core i5,500,0,Intel
11,HP,Notebook,4,Other,1.86,220.5728064,0,0,141.21199808219862,Intel Core i3,500,0,Intel
12,Apple,Ultrabook,16,Mac,1.83,1560.0192192,0,1,220.53462386625827,Intel Core i7,0,256,AMD
13,Dell,Notebook,4,Windows,2.2,318.976704,0,0,141.21199808219862,Intel Core i3,0,256,AMD
14,Apple,Ultrabook,8,Mac,0.92,807.1280640000001,0,1,226.41554716935852,Other Intel Processor,0,256,Intel
15,Apple,Ultrabook,8,Mac,1.37,970.900128,0,1,226.98300468106115,Intel Core i5,0,256,Intel
16,Dell,Notebook,8,Windows,2.2,476.3232,0,0,141.21199808219862,Intel Core i7,0,256,AMD
17,Apple,Ultrabook,16,Mac,1.83,1827.29088,0,1,220.53462386625827,Intel Core i7,0,512,AMD
18,Lenovo,Notebook,8,Other,2.2,319.04064,0,0,141.21199808219862,Intel Core i3,1000,0,Nvidia
19,Dell,Ultrabook,8,Windows,1.22,625.93344,1,1,165.6321180513006,Intel Core i5,0,128,Intel
20,Asus,Netbook,2,Windows,0.98,122.69318400000002,0,0,135.0942111925629,Other Intel Processor,0,0,Intel
21,Lenovo,Gaming,8,Windows,2.5,638.72064,0,1,141.21199808219862,Intel Core i5,1000,128,Nvidia
22,HP,Notebook,4,Other,1.86,164.95488,0,0,100.45466986113651,AMD Processor,500,0,AMD
23,Dell,2 in 1 Convertible,8,Windows,1.62,523.63584,1,0,165.6321180513006,Intel Core i5,0,256,Intel
24,HP,Ultrabook,8,Windows,1.91,421.33824,0,0,141.21199808219862,Intel Core i7,0,256,Intel
25,Dell,Notebook,4,Windows,2.3,267.66167040000005,0,0,100.45466986113651,Intel Core i3,1000,0,Intel
26,Apple,Ultrabook,8,Mac,1.35,702.65664,0,0,127.67794013309688,Intel Core i5,0,0,Intel
27,Dell,Notebook,8,Windows,2.2,511.488,0,0,141.21199808219862,Intel Core i5,0,256,AMD
28,Dell,Ultrabook,8,Windows,1.88,829.8892800000001,0,0,141.21199808219862,Intel Core i7,0,512,Intel
29,HP,Notebook,8,Windows,2.5,572.8665599999999,0,0,127.33567457123111,Intel Core i5,1000,0,Nvidia
30,Chuwi,Notebook,4,Windows,1.89,156.63680639999998,0,0,141.21199808219862,Other Intel Processor,0,0,Intel
31,Asus,Notebook,2,Windows,1.65,127.23264,0,0,111.93520355955211,AMD Processor,0,0,AMD
32,HP,Notebook,4,Windows,2.71,280.67904,0,0,127.33567457123111,AMD Processor,500,0,AMD
33,Dell,Ultrabook,16,Windows,1.2,1194.96384,1,0,276.053530085501,Intel Core i7,0,512,Intel
34,Apple,Ultrabook,8,Mac,1.35,638.08128,0,0,127.67794013309688,Intel Core i5,0,0,Intel
35,Lenovo,Notebook,4,Windows,1.44,159.20064,0,0,111.93520355955211,Other Intel Processor,0,0,Intel
36,Acer,Notebook,4,Other,2.1,234.64512,0,0,100.45466986113651,Intel Core i3,1000,0,Intel
37,Dell,Notebook,8,Windows,2.8,625.93344,0,1,127.33567457123111,Intel Core i5,1000,128,AMD
38,HP,Notebook,4,Windows,1.86,312.4488384,0,0,100.45466986113651,Intel Core i5,1000,0,Intel
39,HP,Notebook,8,Windows,2.1,561.9974400000001,0,0,141.21199808219862,Intel Core i5,0,256,Nvidia
